,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
370,18485,376,88,595,50
371,15896,722,34,423,86
372,15155,119,164,138,158
373,18221,884,23,1364,4
374,22571,948,177,1168,110
375,19536,204,137,251,126
376,15233,379,92,195,142
377,20300,194,142,284,114
378,22686,1323,76,1321,78
379,14709,119,162,85,176
380,17109,500,63,513,60
381,16439,186,144,280,117
382,19341,254,127,137,163
383,16919,762,28,1063,12
384,19359,172,155,202,142
385,18279,81,179,476,71
386,23176,1228,97,1175,108
387,22488,1151,120,804,210
388,15147,366,93,587,48
389,16408,902,19,533,66
390,22134,1493,29,1506,26
391,17188,341,96,390,84
392,23779,1167,111,1025,156
393,19182,746,34,334,102
394,23541,1127,130,1118,133
395,16775,631,44,824,22
396,17466,460,72,370,87
397,22458,1410,56,1755,2
398,21751,1377,62,1292,84
399,17558,319,104,220,128
400,17704,673,45,121,162
401,18098,362,94,401,82
402,17923,780,32,756,36
403,16772,346,94,453,76
404,17848,620,50,607,52
405,15420,303,113,373,94
406,22785,1341,69,1129,127
407,19950,232,129,328,104
408,18891,65,191,148,167
409,23160,1536,23,1434,49
410,15724,355,101,807,25
411,15621,446,79,185,142
412,15497,360,99,423,89
413,23017,1493,32,1311,78
414,18048,5,205,1387,3
415,16332,81,175,1257,2
416,14283,273,111,1109,7
417,21447,1132,125,1229,99
418,22401,1143,121,1334,72
419,14665,448,74,595,49
420,21863,953,177,1040,153
421,15529,1083,9,775,27
422,16159,865,22,581,55
423,22702,1605,14,1458,40
424,22765,1641,8,1600,15
425,22178,812,210,1071,142
426,23003,1028,158,970,168
427,19758,678,47,794,31
428,20961,998,162,968,173
429,22679,917,184,1301,80
430,18863,19,200,252,136
431,23491,1218,98,1301,79
432,14268,546,57,918,15
433,21561,999,162,1224,102
434,21946,1289,84,1201,106
435,20127,437,77,312,108
436,19554,174,150,188,141
437,23157,1618,16,1415,52
438,15718,870,19,430,84
439,19020,1057,15,538,62
440,15635,145,154,232,136
441,21267,1368,61,1302,79
442,16392,199,142,737,32
443,21794,1186,112,1106,129
444,19690,1329,4,246,129
445,21460,886,200,1091,132
446,17699,478,74,716,41
447,20883,1236,99,1481,29
448,15568,168,148,269,124
