,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
7662,15367,38,193,41,189
7663,22132,1200,105,1136,124
7664,22871,1031,156,802,209
7665,18756,802,31,1503,1
7666,17261,861,23,1420,3
7667,20264,289,111,239,131
7668,17774,315,103,519,67
7669,14999,74,183,34,193
7670,22680,1184,105,1052,149
7671,17582,556,61,1094,13
7672,19827,1085,14,361,99
7673,20909,1271,88,1229,100
7674,22578,1609,12,1081,138
7675,20343,400,83,361,95
7676,21694,1084,134,1140,124
7677,22550,1165,112,1043,152
7678,17186,41,186,163,149
7679,22603,1161,117,1039,154
7680,14532,792,25,1570,2
7681,18044,1223,6,198,142
7682,16511,554,59,631,47
7683,16961,203,134,78,175
7684,23288,1274,85,1545,22
7685,20200,502,68,68,185
7686,18590,179,157,190,152
7687,16521,1077,11,1050,12
7688,20705,1395,55,1339,70
7689,21063,1356,66,1051,150
7690,17170,420,76,569,46
7691,18718,1077,10,885,20
7692,17219,228,129,61,179
7693,15341,677,35,572,55
7694,14980,1075,9,679,37
7695,21889,934,180,1426,51
7696,19893,155,154,292,112
7697,15533,430,84,632,39
7698,20704,1398,54,1632,5
7699,14303,942,12,232,124
7700,17937,893,23,183,145
7701,23852,1466,40,1650,12
7702,15742,277,118,146,154
7703,21244,1346,68,1365,62
7704,21390,1144,122,1074,139
7705,23169,1230,96,1000,160
7706,16261,993,14,255,123
7707,14518,366,94,661,39
7708,16535,141,158,351,99
7709,17340,340,97,61,178
7710,21696,1201,107,1181,112
7711,20860,1449,38,1490,27
7712,19741,737,35,716,38
7713,15738,389,92,450,77
7714,17427,346,92,291,110
7715,20589,976,169,985,165
7716,16336,180,144,142,155
7717,18641,350,96,292,123
7718,23142,1185,106,1555,20
7719,20735,974,169,937,181
7720,23128,1606,18,1435,46
7721,16515,368,96,322,103
7722,20786,1449,38,1548,17
7723,15413,689,36,619,46
7724,15357,260,128,281,119
7725,23753,1621,16,1789,3
7726,17007,263,115,437,69
7727,16319,316,107,452,78
7728,17433,527,62,529,61
7729,20784,995,164,955,175
7730,22341,1341,71,1424,52
7731,22358,1410,56,1427,50
7732,21851,1392,56,1198,107
7733,19065,1361,5,1273,6
7734,20665,1537,18,1526,20
7735,15097,477,74,349,97
7736,23295,1354,69,1364,65
7737,19937,1322,6,1033,17
7738,14616,941,16,785,28
7739,18616,947,15,164,159
7740,20805,1125,127,1216,103
7741,20499,1207,105,1080,141
7742,16220,572,58,829,24
7743,17315,283,113,597,49
7744,20722,1101,136,1364,64
7745,17517,594,56,482,72
7746,17483,45,187,55,181
7747,23506,1465,41,1547,25
7748,16358,998,12,1219,3
7749,14527,187,136,406,85
7750,15719,227,138,362,99
7751,18548,334,103,457,78
7752,20143,238,129,370,95
7753,19849,917,23,343,101
7754,18850,289,126,436,79
7755,22271,1387,59,920,184
7756,20040,269,120,193,142
7757,17375,342,95,390,84
7758,17942,251,121,381,88
7759,21393,1550,20,1044,152
7760,22987,1516,27,1752,4
7761,15879,433,82,380,95
7762,21589,1083,135,1111,128
7763,15331,1232,4,323,107
7764,19003,1645,1,719,36
7765,19017,217,143,424,81
7766,22044,1612,12,959,175
7767,14554,151,152,231,131
7768,16138,380,96,133,161
7769,20270,880,24,548,57
7770,18544,554,64,561,59
7771,15243,453,73,590,50
7772,23180,1250,92,1545,22
7773,21862,1474,37,1755,1
7774,23269,1250,91,1230,96
7775,15861,573,55,287,115
7776,22381,1440,45,1548,22
7777,19051,73,186,57,192
7778,17005,194,138,135,153
7779,15489,446,79,308,115
7780,19183,261,124,451,78
7781,15620,427,86,168,148
7782,19281,121,170,183,149
7783,21672,1493,29,1409,53
7784,18887,445,78,674,39
7785,20199,406,82,673,47
7786,16528,720,34,861,22
7787,14357,90,172,430,75
7788,20003,279,114,199,143
7789,15105,976,12,1052,8
7790,21825,1252,94,1498,28
7791,14994,805,24,1114,8
7792,22443,1171,114,1207,101
7793,16532,307,109,180,143
7794,15962,523,65,413,91
7795,23746,1210,99,1149,117
7796,23624,1578,20,1510,31
7797,16716,226,122,215,125
7798,21367,896,195,997,163
7799,17673,410,78,369,91
7800,21071,1505,24,1363,65
7801,22921,1270,89,1567,19
7802,18090,1204,7,501,69
7803,14523,564,53,123,156
7804,19564,1511,3,1049,17
7805,15338,874,18,196,142
7806,16034,438,85,348,103
7807,20643,889,201,1303,81
7808,16674,514,69,196,133
7809,23104,1648,11,867,197
7810,17343,780,31,657,38
7811,19039,57,192,74,186
7812,15476,189,143,166,151
7813,16518,595,53,1039,13
7814,22825,1079,137,1282,84
7815,22297,1074,140,942,179
7816,18705,184,155,238,142
7817,17776,88,177,532,63
7818,23243,1357,67,1282,83
7819,18779,41,196,4,203
7820,21856,1189,111,1524,24
7821,14254,338,96,221,127
7822,20787,1372,60,1435,40
7823,21046,1206,108,1111,132
7824,19314,227,135,1317,6
7825,22097,1744,2,1653,5
7826,22999,1797,2,1543,22
7827,19472,1511,3,11,204
7828,18726,302,115,93,180
7829,15614,130,162,313,112
7830,17279,542,57,297,107
7831,15426,722,30,555,56
7832,21411,1333,71,1084,135
7833,14902,559,57,526,64
7834,14614,182,141,114,162
7835,17285,1388,4,715,34
7836,21534,1350,67,1583,14
7837,22449,1384,61,1066,146
7838,19904,213,140,101,175
7839,22917,1159,115,1427,48
7840,20814,1054,150,1407,52
7841,22718,1598,16,1374,62
7842,16307,595,53,695,36
7843,19130,1621,1,1361,5
7844,18673,423,81,311,112
7845,18877,1136,11,151,165
7846,19379,560,63,415,84
7847,14294,753,31,806,26
7848,17947,212,135,336,96
7849,23502,1588,17,1510,31
7850,18933,154,161,602,50
7851,17303,300,106,954,17
7852,18062,835,28,899,22
7853,16282,679,40,468,76
7854,22647,1364,65,1020,159
7855,23760,1553,23,1832,1
7856,18149,722,36,407,80
7857,20921,1264,91,1405,53
7858,16702,597,51,612,48
7859,19378,420,83,1025,17
7860,19335,331,106,455,78
7861,14485,473,71,584,49
7862,22743,1605,14,1648,6
7863,14496,893,17,1158,5
7864,16417,1066,8,514,71
7865,19268,177,151,219,137
7866,20859,1515,22,1422,47
7867,16161,1008,13,723,35
7868,20236,264,122,255,124
7869,23507,1163,109,1418,56
7870,20306,499,64,545,58
7871,18637,174,157,554,63
7872,22438,1224,100,1379,62
7873,14368,260,114,39,185
7874,20520,900,195,912,190
7875,20416,1182,8,985,16
7876,16472,609,51,513,67
7877,18069,245,131,123,168
7878,20566,1300,81,980,168
7879,15868,949,16,640,38
7880,16210,493,72,787,27
7881,19987,641,53,913,22
7882,23402,1478,36,1512,30
7883,21127,1647,4,1554,16
7884,20049,300,111,215,138
7885,19170,165,156,122,167
7886,15264,606,48,547,56
7887,22575,1555,20,1629,11
7888,19530,168,153,89,180
7889,23024,1060,144,1314,77
7890,19656,599,60,866,25
7891,19919,473,74,428,80
7892,18643,815,30,603,50
7893,17112,132,155,420,76
7894,21854,1586,16,1286,86
7895,19294,859,24,1120,12
7896,21120,1607,7,1604,8
7897,18900,728,38,749,35
7898,19965,391,90,409,86
7899,21325,1158,118,1423,50
7900,23867,1635,14,1674,8
7901,18578,302,116,276,128
7902,16229,550,60,291,116
7903,21568,1091,132,1467,37
7904,14494,468,73,306,107
7905,19417,647,52,828,30
7906,23219,1070,141,1057,145
7907,18251,793,30,88,177
7908,23066,940,180,1658,10
7909,22691,1609,12,1757,2
7910,19629,580,64,203,138
7911,14837,462,74,224,138
7912,21462,904,192,1088,133
7913,16292,987,15,499,70
7914,15199,472,68,448,74
7915,15740,456,75,171,148
7916,16062,317,109,267,123
7917,19037,122,167,74,186
7918,17145,364,89,616,40
7919,19969,428,80,450,77
7920,23518,1497,34,1587,18
7921,19131,792,30,839,26
7922,15565,43,193,333,102
7923,16834,487,69,830,21
7924,16574,280,117,229,127
7925,15741,517,63,480,72
7926,17306,368,88,480,69
7927,16682,454,74,385,87
7928,17397,408,80,346,92
7929,15421,442,77,4,204
7930,21798,1651,4,1371,61
7931,23304,1431,50,1534,24
7932,16582,544,63,683,42
7933,21500,1497,28,939,181
7934,23772,1388,59,1446,48
7935,17652,120,162,117,164
7936,23841,1286,83,1025,156
7937,14504,301,109,195,134
7938,23742,1658,9,1452,46
7939,19697,714,40,1549,2
7940,15744,389,92,787,26
7941,17150,309,103,554,53
7942,22684,1330,73,1258,92
7943,14943,576,51,575,52
7944,18763,529,68,301,117
7945,20027,31,196,279,118
7946,17030,1091,13,740,27
7947,15210,705,33,579,51
7948,18449,789,31,423,81
7949,22757,1458,40,1631,10
7950,21817,1034,156,1102,130
7951,14253,325,101,328,98
7952,21691,1293,83,1299,81
7953,22001,1598,16,1765,1
7954,21793,1399,54,1285,87
7955,16807,550,55,902,18
7956,20818,855,211,955,175
7957,18873,208,149,206,150
7958,18531,479,75,1307,5
7959,18440,609,47,332,101
7960,17973,293,109,39,193
7961,22601,1151,120,1331,72
7962,21563,1375,62,1214,103
7963,15999,617,48,582,52
7964,16658,233,124,194,134
7965,15059,298,114,523,59
7966,20168,919,23,791,33
7967,23646,1076,140,1061,145
7968,20606,1444,41,1463,35
7969,17469,260,118,548,57
7970,23877,917,183,1504,30
7971,23797,1158,115,917,183
7972,20198,507,65,689,43
7973,17459,529,61,548,57
7974,16718,183,134,155,141
7975,17817,517,68,303,105
7976,17129,429,73,878,22
7977,17511,265,116,425,82
7978,22321,1548,22,1437,47
7979,22050,1653,5,1642,7
7980,20541,1336,70,1227,100
7981,14870,113,166,95,174
7982,20567,1471,32,1723,2
7983,16129,581,55,381,94
7984,15139,477,74,207,143
7985,16248,94,170,176,145
7986,16875,1299,2,1189,4
7987,22529,1410,54,1161,116
7988,21230,1198,108,1210,103
7989,15031,931,17,725,32
7990,16856,731,33,1090,10
7991,17852,66,180,127,164
7992,18494,626,44,341,97
7993,23873,1276,85,1338,73
7994,19730,272,116,368,91
7995,22154,1351,66,1274,89
7996,15203,374,92,636,40
7997,21233,1582,11,1580,13
7998,15760,834,21,333,104
7999,17766,160,143,586,58
8000,21221,909,188,923,184
8001,20452,1449,101,1534,84
8002,20986,1582,11,1478,32
8003,18287,273,125,320,107
8004,16415,458,80,671,42
8005,21232,1485,33,1516,21
8006,19925,820,29,931,20
8007,18902,655,40,848,26
8008,21645,1253,94,1094,131
8009,22692,1056,148,1078,141
8010,19959,366,94,503,70
8011,20798,967,173,1277,87
8012,23691,1435,53,1267,87
8013,18790,339,106,312,120
8014,15986,899,20,393,96
8015,17142,220,133,641,37
8016,23069,1531,24,791,210
8017,22086,1076,137,917,186
8018,23162,1672,9,1416,55
8019,17169,371,87,287,111
8020,18036,170,156,671,45
8021,14726,537,59,297,113
8022,21000,864,208,881,202
8023,19475,684,47,475,72
8024,21623,1201,107,1299,81
8025,19781,384,86,271,116
8026,17713,929,22,1508,2
8027,17265,636,40,521,60
8028,19231,515,68,610,53
8029,15766,178,146,367,98
8030,19046,331,104,313,113
8031,22483,955,175,1425,48
8032,19465,140,158,341,97
8033,21412,1009,159,1229,99
8034,18469,318,107,117,174
8035,18318,132,166,193,150
8036,19233,742,33,686,39
8037,19642,365,93,296,109
8038,20057,52,189,543,63
8039,17933,810,30,5,202
8040,21379,1319,76,1205,106
8041,22123,1179,112,1236,98
8042,17024,1023,15,473,63
8043,21840,1715,3,1617,9
8044,16400,753,29,698,39
